Calchas,,,X,,,,,X,,,X,,,X,
Cadmus,M,X,X,X,X,X,X,,X,X,,,,,
Creon,M,,,,,X,,,X,,,,X,X,X
Cybele,M,X,X,,,,,X,,X,X,,,,
Cupid,M,,,X,,X,,X,,,,,,,X
Barnard system (28p),,,,,,,,,,,,,,,
Planet,M,Irn,Ti,Al,Crb,Cop,Hydr,He,Deut,Meth,Palad,Plat,Slv,Gld,Slca
Mycenae,M,X,X,,X,X,,,,,X,,,,X
Tyre,,,,X,X,,X,,,X,,X,,,
Ur,,X,X,,,,X,,X,,,,,,
Thebes,,,,X,,,,,,,X,,,X,X
Tanis,M,X,X,,X,X,,X,,,,,X,X,X
Memphis,,,,,,,X,X,,,,X,X,,
Karnak,M,X,X,X,X,X,X,,X,X,,,,,
Gizeh,,X,X,,,,X,X,,,,,,,
Calah,M,X,X,X,,,,X,X,,X,,X,X,
Noria,,X,,,,X,,X,,,,,,X,
Abydos,,X,,,,,X,,,,X,,,X,
Saqqara,,X,X,X,,,,,,,,,X,,
Pompeii,,X,,,,X,,,,,,X,,X,
Petra,,X,,,,,,X,X,,,,,X,
Palmyra,,,,X,,X,X,,,,X,,,,
Jericho,,,X,,,,,X,,,X,X,,,
Babylon,M,X,X,,,,,X,X,,,,,,
Troy,M,,X,X,,,,X,,,,,,X,
Carthage,M,X,,X,,,,,X,,,X,,,
Crete,M,,,,X,,X,X,,,,,,X,
Knossos,M,X,X,X,,,,X,,,,,X,,
Delphi,M,X,,,,X,X,X,,,,,,,
Ephesus,M,X,X,,,X,,,X,,,,,,
Corinth,M,X,,X,,,X,,,,,,X,,
Athens,M,,,,X,X,,,,X,X,,,,
Olympia,M,,,,,,,X,,,,X,,X,X
Mari,M,X,,X,,,,,,,,,X,,X
Cuzco,M,,,,,X,X,X,,,,,,,X
Lalande system (6p),,,,,,,,,,,,,,,
Planet,M,Irn,Ti,Al,Crb,Cop,Hydr,He,Deut,Meth,Palad,Plat,Slv,Gld,Slca
Nero,M,X,,X,X,,X,X,,,X,,,X,X
Julius,M,X,,,,,,,X,X,,,,X,X
Septimus,M,,X,X,,X,X,X,X,,,X,X,,
Augustus,,X,,,,,,,X,X,,,,X,
Claudius,M,,,,,X,X,X,,X,,,X,X,
Hadrian,M,X,X,X,X,X,X,,X,X,,,,,
Sirius system (2p),,,,,,,,,,,,,,,
Planet,M,Irn,Ti,Al,Crb,Cop,Hydr,He,Deut,Meth,Palad,Plat,Slv,Gld,Slca
Romulus,M,X,X,X,X,X,X,,X,X,,,,,
Remus,M,X,,,,,,X,,,X,X,X,X,X
Cygni system (34p),,,,,,,,,,,,,,,
Planet,M,Irn,Ti,Al,Crb,Cop,Hydr,He,Deut,Meth,Palad,Plat,Slv,Gld,Slca
Helios,M,X,,,,X,,X,,,,,X,X,X
Lithos,,X,,,,X,,X,,,,X,,,
Burah,,,,,,,X,X,,,X,,,,X
Alumen,,,,,,X,X,X,,,,,,X,
Silex,M,X,X,X,X,X,X,,X,X,,,,,
Sulfurum,M,X,X,,,,,X,,,,,X,,X
Chloros,M,X,X,,,,X,,X,,,,,X,X
Argosos,,X,,,,,,X,,,X,X,X,X,X
Calx,M,X,,,,X,X,X,,X,,,,X,X
Titanes,M,X,X,,,X,,X,,,,,X,X,
Vanadis,M,X,,X,,X,,X,,,,X,X,X,
Chronos,M,X,X,,,X,,X,,,,X,X,X,
Selene,M,,X,,,X,X,,X,,,,,X,X
Bromos,,X,X,X,X,X,X,,X,X,,,,,
Kryptos,,X,,,,,,X,,,X,X,X,X,X
Rubidos,M,X,,,,,,X,X,,,,,X,
Zargun,,X,X,,,,,X,,,,,X,,X
Niobe,,X,X,,,,X,,X,,,,,X,X
Kadmeia,M,X,X,,,X,,,,,,,,X,X
Tellus,,X,,,,X,X,X,,X,,,,X,X
Iodes,,X,X,,,X,,X,,,,,X,X,
Xenos,,X,X,X,X,X,X,,X,X,,,,,
Caesius,,X,X,,,,,X,,,,,X,,X
Rhenus,,X,X,,,,,X,,,,,X,,X
Osme,,,,,,X,,X,X,,,,,X,
Iris,,X,,,,,,X,,,,,X,X,
Platina,,X,X,,,,,,X,,,,,X,
Aurum,M,X,,,X,,,X,,,,,X,X,
Thallos,,X,,,,X,,X,,,,,,,X
Astatos,,X,,,,X,X,,,,,,,X,
Radius,M,,,,,X,,X,,X,X,,,,
Aktis,M,,,,,X,,X,,,,X,,,X
Protos,M,X,,,,,,X,,,,,,X,X
Prasios,M,X,,,,,X,,X,,,,,X,
Procyon system (10p),,,,,,,,,,,,,,,
Planet,M,Irn,Ti,Al,Crb,Cop,Hydr,He,Deut,Meth,Palad,Plat,Slv,Gld,Slca
Cambrian,M,X,X,X,,X,,X,,,X,X,,X,
Cainozoic,M,X,X,X,X,X,X,,X,X,,,,,
Tertiary,M,X,,X,X,X,,X,X,,,,X,X,
Paleocene,M,X,,X,X,,,,,,X,,,,
Eocene,M,X,,,,,,X,,,X,X,X,X,X
Oligocene,M,X,,,,,,X,,,X,X,X,X,X
Miocene,M,,X,X,,,,X,,X,,,,,X
Pliocene,M,X,X,,,,,,,,X,,,X,
Paleozoic,M,X,,X,,,,X,,X,,X,X,X,
Silurian,M,X,,,,X,,X,X,,X,,,,
Tau Ceti system (22p),,,,,,,,,,,,,,,
Planet,M,Irn,Ti,Al,Crb,Cop,Hydr,He,Deut,Meth,Palad,Plat,Slv,Gld,Slca
Alpha,M,X,X,X,X,X,X,,X,X,,,,,
Beta,M,,,,,,,X,X,,,,X,X,
Delta,,,,,,,X,,,X,,X,,,X
Gama,M,X,,X,,X,,X,X,,X,,,X,X
Theta,M,,,,X,X,X,,X,,,,,X,
Iota,,,,,,X,X,,,X,,X,,,
Kappa,M,X,,,X,,X,X,X,X,,,,,
Epsilon,,X,,,X,,,,X,,,,X,,
Lambda,M,X,,X,,X,,X,X,,,X,,,X
Mu,,,,,,X,X,,X,,X,,,,
Nu,M,,,X,,X,X,,X,,X,X,,X,X
Xi,,X,,,,,,X,,,X,X,,,
Omicron,,,,,X,X,X,X,,,,,,,
Pi,M,,,X,,,X,X,X,X,,X,,X,X
Zeta,M,X,X,X,X,,,X,X,X,,,,,X
Rho,M,X,X,,,,,X,,,,X,,,
Sigma,M,,,X,,X,X,X,,,X,,X,X,X
Upsilon,M,X,,,,,,,,,,X,,X,X
Phi,M,X,X,,,X,X,X,,,,X,,,X
Chi,M,X,,X,,X,,X,X,X,,X,,,X
Psi,M,,X,,,X,X,,X,,,,,,X
Omega,M,X,X,X,X,X,X,,,,,,,X,X
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Go to top,,,,,,,,,,,,,,,
Deuteros: The Next Millennium,,,,,,,,,,,,,,,
Planets,,,,,,,,,,,,,,,
Deuteros: The Next Millennium,,,,,,,,,,,,,,,
"This page was last edited on 24 March 2022, at 16:42.",,,,,,,,,,,,,,,
Content is available under Creative Commons Attribution-ShareAlike 4.0 unless otherwise noted.,,,,,,,,,,,,,,,
Privacy policy,,,,,,,,,,,,,,,
About StrategyWiki,,,,,,,,,,,,,,,
Disclaimers,,,,,,,,,,,,,,,
Mobile view,,,,,,,,,,,,,,,
Navigation menu,,,,,,,,,,,,,,,
Not logged in,,,,,,,,,,,,,,,
Talk,,,,,,,,,,,,,,,
Contributions,,,,,,,,,,,,,,,
Create account,,,,,,,,,,,,,,,
Log in,,,,,,,,,,,,,,,
Search,,,,,,,,,,,,,,,
